rank,slack_ns,required_time_ns,data_path_delay_ns,logic_delay_ns,route_delay_ns,route_ratio,logic_levels,startpoint,endpoint,path_class,main_cells
1,0.232,5.000,4.765,1.190,3.575,0.750,6,"FSM_onehot_st_q_reg[3]/C","lane_result_q_reg[0][55]/D","P2 lane result capture","FDCE=2;LUT4=2;LUT6=4"
2,0.232,5.000,4.765,1.190,3.575,0.750,6,"FSM_onehot_st_q_reg[3]/C","lane_result_q_reg[1][55]/D","P2 lane result capture","FDCE=2;LUT4=2;LUT6=4"
3,0.232,5.000,4.765,1.190,3.575,0.750,6,"FSM_onehot_st_q_reg[3]/C","lane_result_q_reg[2][55]/D","P2 lane result capture","FDCE=2;LUT4=2;LUT6=4"
4,0.232,5.000,4.765,1.190,3.575,0.750,6,"FSM_onehot_st_q_reg[3]/C","lane_result_q_reg[3][55]/D","P2 lane result capture","FDCE=2;LUT4=2;LUT6=4"
5,0.233,5.000,4.764,1.190,3.574,0.750,6,"FSM_onehot_st_q_reg[3]/C","lane_result_q_reg[0][59]/D","P2 lane result capture","FDCE=2;LUT4=2;LUT6=4"
6,0.233,5.000,4.764,1.190,3.574,0.750,6,"FSM_onehot_st_q_reg[3]/C","lane_result_q_reg[1][59]/D","P2 lane result capture","FDCE=2;LUT4=2;LUT6=4"
7,0.233,5.000,4.764,1.190,3.574,0.750,6,"FSM_onehot_st_q_reg[3]/C","lane_result_q_reg[2][59]/D","P2 lane result capture","FDCE=2;LUT4=2;LUT6=4"
8,0.233,5.000,4.764,1.190,3.574,0.750,6,"FSM_onehot_st_q_reg[3]/C","lane_result_q_reg[3][59]/D","P2 lane result capture","FDCE=2;LUT4=2;LUT6=4"
9,0.243,5.000,4.754,1.190,3.564,0.750,6,"FSM_onehot_st_q_reg[3]/C","lane_result_q_reg[0][63]/D","P2 lane result capture","FDCE=2;LUT4=2;LUT6=4"
10,0.243,5.000,4.754,1.190,3.564,0.750,6,"FSM_onehot_st_q_reg[3]/C","lane_result_q_reg[1][63]/D","P2 lane result capture","FDCE=2;LUT4=2;LUT6=4"
11,0.243,5.000,4.754,1.190,3.564,0.750,6,"FSM_onehot_st_q_reg[3]/C","lane_result_q_reg[2][63]/D","P2 lane result capture","FDCE=2;LUT4=2;LUT6=4"
