rank,slack_ns,required_time_ns,data_path_delay_ns,logic_delay_ns,route_delay_ns,route_ratio,logic_levels,startpoint,endpoint,path_class,main_cells
111,-0.157,5.000,4.803,1.085,3.718,0.774,5,"uop_p3_q_reg[op_type][0]/C","i_vrf/vrf_b3_reg_r1_0_63_9_11/RAMB/I","VRF/read/writeback","FDCE=1;LUT4=1;LUT6=3;RAMD64E=1"
112,-0.157,5.000,4.803,1.085,3.718,0.774,5,"uop_p3_q_reg[op_type][0]/C","i_vrf/vrf_b3_reg_r2_0_63_0_2/RAMB/I","VRF/read/writeback","FDCE=1;LUT4=1;LUT6=3;RAMD64E=2"
113,-0.157,5.000,4.803,1.085,3.718,0.774,5,"uop_p3_q_reg[op_type][0]/C","i_vrf/vrf_b3_reg_r2_0_63_12_14/RAMB/I","VRF/read/writeback","FDCE=1;LUT4=1;LUT6=3;RAMD64E=2"
114,-0.157,5.000,4.803,1.085,3.718,0.774,5,"uop_p3_q_reg[op_type][0]/C","i_vrf/vrf_b3_reg_r2_0_63_15_17/RAMB/I","VRF/read/writeback","FDCE=1;LUT4=1;LUT6=3;RAMD64E=2"
115,-0.157,5.000,4.803,1.085,3.718,0.774,5,"uop_p3_q_reg[op_type][0]/C","i_vrf/vrf_b3_reg_r2_0_63_18_20/RAMB/I","VRF/read/writeback","FDCE=1;LUT4=1;LUT6=3;RAMD64E=2"
116,-0.157,5.000,4.803,1.085,3.718,0.774,5,"uop_p3_q_reg[op_type][0]/C","i_vrf/vrf_b3_reg_r2_0_63_21_23/RAMB/I","VRF/read/writeback","FDCE=1;LUT4=1;LUT6=3;RAMD64E=2"
117,-0.157,5.000,4.803,1.085,3.718,0.774,5,"uop_p3_q_reg[op_type][0]/C","i_vrf/vrf_b3_reg_r2_0_63_24_26/RAMB/I","VRF/read/writeback","FDCE=1;LUT4=1;LUT6=3;RAMD64E=2"
118,-0.157,5.000,4.803,1.085,3.718,0.774,5,"uop_p3_q_reg[op_type][0]/C","i_vrf/vrf_b3_reg_r2_0_63_27_29/RAMB/I","VRF/read/writeback","FDCE=1;LUT4=1;LUT6=3;RAMD64E=2"
119,-0.157,5.000,4.803,1.085,3.718,0.774,5,"uop_p3_q_reg[op_type][0]/C","i_vrf/vrf_b3_reg_r2_0_63_30_32/RAMB/I","VRF/read/writeback","FDCE=1;LUT4=1;LUT6=3;RAMD64E=2"
120,-0.157,5.000,4.803,1.085,3.718,0.774,5,"uop_p3_q_reg[op_type][0]/C","i_vrf/vrf_b3_reg_r2_0_63_33_35/RAMB/I","VRF/read/writeback","FDCE=1;LUT4=1;LUT6=3;RAMD64E=2"
121,-0.157,5.000,4.803,1.085,3.718,0.774,5,"uop_p3_q_reg[op_type][0]/C","i_vrf/vrf_b3_reg_r2_0_63_36_38/RAMB/I","VRF/read/writeback","FDCE=1;LUT4=1;LUT6=3;RAMD64E=2"
122,-0.157,5.000,4.803,1.085,3.718,0.774,5,"uop_p3_q_reg[op_type][0]/C","i_vrf/vrf_b3_reg_r2_0_63_39_41/RAMB/I","VRF/read/writeback","FDCE=1;LUT4=1;LUT6=3;RAMD64E=2"
123,-0.157,5.000,4.803,1.085,3.718,0.774,5,"uop_p3_q_reg[op_type][0]/C","i_vrf/vrf_b3_reg_r2_0_63_3_5/RAMB/I","VRF/read/writeback","FDCE=1;LUT4=1;LUT6=3;RAMD64E=2"
124,-0.157,5.000,4.803,1.085,3.718,0.774,5,"uop_p3_q_reg[op_type][0]/C","i_vrf/vrf_b3_reg_r2_0_63_42_44/RAMB/I","VRF/read/writeback","FDCE=1;LUT4=1;LUT6=3;RAMD64E=2"
125,-0.157,5.000,4.803,1.085,3.718,0.774,5,"uop_p3_q_reg[op_type][0]/C","i_vrf/vrf_b3_reg_r2_0_63_45_47/RAMB/I","VRF/read/writeback","FDCE=1;LUT4=1;LUT6=3;RAMD64E=2"
126,-0.157,5.000,4.803,1.085,3.718,0.774,5,"uop_p3_q_reg[op_type][0]/C","i_vrf/vrf_b3_reg_r2_0_63_48_50/RAMB/I","VRF/read/writeback","FDCE=1;LUT4=1;LUT6=3;RAMD64E=2"
127,-0.157,5.000,4.803,1.085,3.718,0.774,5,"uop_p3_q_reg[op_type][0]/C","i_vrf/vrf_b3_reg_r2_0_63_51_53/RAMB/I","VRF/read/writeback","FDCE=1;LUT4=1;LUT6=3;RAMD64E=2"
128,-0.157,5.000,4.803,1.085,3.718,0.774,5,"uop_p3_q_reg[op_type][0]/C","i_vrf/vrf_b3_reg_r2_0_63_54_56/RAMB/I","VRF/read/writeback","FDCE=1;LUT4=1;LUT6=3;RAMD64E=2"
129,-0.157,5.000,4.803,1.085,3.718,0.774,5,"uop_p3_q_reg[op_type][0]/C","i_vrf/vrf_b3_reg_r2_0_63_57_59/RAMB/I","VRF/read/writeback","FDCE=1;LUT4=1;LUT6=3;RAMD64E=2"
130,-0.157,5.000,4.803,1.085,3.718,0.774,5,"uop_p3_q_reg[op_type][0]/C","i_vrf/vrf_b3_reg_r2_0_63_60_62/RAMB/I","VRF/read/writeback","FDCE=1;LUT4=1;LUT6=3;RAMD64E=2"
131,-0.157,5.000,4.803,1.085,3.718,0.774,5,"uop_p3_q_reg[op_type][0]/C","i_vrf/vrf_b3_reg_r2_0_63_6_8/RAMB/I","VRF/read/writeback","FDCE=1;LUT4=1;LUT6=3;RAMD64E=2"
132,-0.157,5.000,4.803,1.085,3.718,0.774,5,"uop_p3_q_reg[op_type][0]/C","i_vrf/vrf_b3_reg_r2_0_63_9_11/RAMB/I","VRF/read/writeback","FDCE=1;LUT4=1;LUT6=3;RAMD64E=2"
133,-0.153,5.000,4.803,1.085,3.718,0.774,5,"uop_p3_q_reg[op_type][0]/C","i_vrf/vrf_b0_reg_r1_0_63_0_2/RAMC/I","VRF/read/writeback","FDCE=1;LUT4=1;LUT6=3;RAMD64E=1"
134,-0.153,5.000,4.803,1.085,3.718,0.774,5,"uop_p3_q_reg[op_type][0]/C","i_vrf/vrf_b0_reg_r1_0_63_12_14/RAMC/I","VRF/read/writeback","FDCE=1;LUT4=1;LUT6=3;RAMD64E=1"
135,-0.153,5.000,4.803,1.085,3.718,0.774,5,"uop_p3_q_reg[op_type][0]/C","i_vrf/vrf_b0_reg_r1_0_63_15_17/RAMC/I","VRF/read/writeback","FDCE=1;LUT4=1;LUT6=3;RAMD64E=1"
136,-0.153,5.000,4.803,1.085,3.718,0.774,5,"uop_p3_q_reg[op_type][0]/C","i_vrf/vrf_b0_reg_r1_0_63_18_20/RAMC/I","VRF/read/writeback","FDCE=1;LUT4=1;LUT6=3;RAMD64E=1"
137,-0.153,5.000,4.803,1.085,3.718,0.774,5,"uop_p3_q_reg[op_type][0]/C","i_vrf/vrf_b0_reg_r1_0_63_21_23/RAMC/I","VRF/read/writeback","FDCE=1;LUT4=1;LUT6=3;RAMD64E=1"
138,-0.153,5.000,4.803,1.085,3.718,0.774,5,"uop_p3_q_reg[op_type][0]/C","i_vrf/vrf_b0_reg_r1_0_63_24_26/RAMC/I","VRF/read/writeback","FDCE=1;LUT4=1;LUT6=3;RAMD64E=1"
139,-0.153,5.000,4.803,1.085,3.718,0.774,5,"uop_p3_q_reg[op_type][0]/C","i_vrf/vrf_b0_reg_r1_0_63_27_29/RAMC/I","VRF/read/writeback","FDCE=1;LUT4=1;LUT6=3;RAMD64E=1"
140,-0.153,5.000,4.803,1.085,3.718,0.774,5,"uop_p3_q_reg[op_type][0]/C","i_vrf/vrf_b0_reg_r1_0_63_30_32/RAMC/I","VRF/read/writeback","FDCE=1;LUT4=1;LUT6=3;RAMD64E=1"
141,-0.153,5.000,4.803,1.085,3.718,0.774,5,"uop_p3_q_reg[op_type][0]/C","i_vrf/vrf_b0_reg_r1_0_63_33_35/RAMC/I","VRF/read/writeback","FDCE=1;LUT4=1;LUT6=3;RAMD64E=1"
142,-0.153,5.000,4.803,1.085,3.718,0.774,5,"uop_p3_q_reg[op_type][0]/C","i_vrf/vrf_b0_reg_r1_0_63_36_38/RAMC/I","VRF/read/writeback","FDCE=1;LUT4=1;LUT6=3;RAMD64E=1"
143,-0.153,5.000,4.803,1.085,3.718,0.774,5,"uop_p3_q_reg[op_type][0]/C","i_vrf/vrf_b0_reg_r1_0_63_39_41/RAMC/I","VRF/read/writeback","FDCE=1;LUT4=1;LUT6=3;RAMD64E=1"
144,-0.153,5.000,4.803,1.085,3.718,0.774,5,"uop_p3_q_reg[op_type][0]/C","i_vrf/vrf_b0_reg_r1_0_63_3_5/RAMC/I","VRF/read/writeback","FDCE=1;LUT4=1;LUT6=3;RAMD64E=1"
145,-0.153,5.000,4.803,1.085,3.718,0.774,5,"uop_p3_q_reg[op_type][0]/C","i_vrf/vrf_b0_reg_r1_0_63_42_44/RAMC/I","VRF/read/writeback","FDCE=1;LUT4=1;LUT6=3;RAMD64E=1"
146,-0.153,5.000,4.803,1.085,3.718,0.774,5,"uop_p3_q_reg[op_type][0]/C","i_vrf/vrf_b0_reg_r1_0_63_45_47/RAMC/I","VRF/read/writeback","FDCE=1;LUT4=1;LUT6=3;RAMD64E=1"
147,-0.153,5.000,4.803,1.085,3.718,0.774,5,"uop_p3_q_reg[op_type][0]/C","i_vrf/vrf_b0_reg_r1_0_63_48_50/RAMC/I","VRF/read/writeback","FDCE=1;LUT4=1;LUT6=3;RAMD64E=1"
148,-0.153,5.000,4.803,1.085,3.718,0.774,5,"uop_p3_q_reg[op_type][0]/C","i_vrf/vrf_b0_reg_r1_0_63_51_53/RAMC/I","VRF/read/writeback","FDCE=1;LUT4=1;LUT6=3;RAMD64E=1"
149,-0.153,5.000,4.803,1.085,3.718,0.774,5,"uop_p3_q_reg[op_type][0]/C","i_vrf/vrf_b0_reg_r1_0_63_54_56/RAMC/I","VRF/read/writeback","FDCE=1;LUT4=1;LUT6=3;RAMD64E=1"
150,-0.153,5.000,4.803,1.085,3.718,0.774,5,"uop_p3_q_reg[op_type][0]/C","i_vrf/vrf_b0_reg_r1_0_63_57_59/RAMC/I","VRF/read/writeback","FDCE=1;LUT4=1;LUT6=3;RAMD64E=1"
151,-0.153,5.000,4.803,1.085,3.718,0.774,5,"uop_p3_q_reg[op_type][0]/C","i_vrf/vrf_b0_reg_r1_0_63_60_62/RAMC/I","VRF/read/writeback","FDCE=1;LUT4=1;LUT6=3;RAMD64E=1"
152,-0.153,5.000,4.803,1.085,3.718,0.774,5,"uop_p3_q_reg[op_type][0]/C","i_vrf/vrf_b0_reg_r1_0_63_6_8/RAMC/I","VRF/read/writeback","FDCE=1;LUT4=1;LUT6=3;RAMD64E=1"
153,-0.153,5.000,4.803,1.085,3.718,0.774,5,"uop_p3_q_reg[op_type][0]/C","i_vrf/vrf_b0_reg_r1_0_63_9_11/RAMC/I","VRF/read/writeback","FDCE=1;LUT4=1;LUT6=3;RAMD64E=1"
154,-0.153,5.000,4.803,1.085,3.718,0.774,5,"uop_p3_q_reg[op_type][0]/C","i_vrf/vrf_b0_reg_r2_0_63_0_2/RAMC/I","VRF/read/writeback","FDCE=1;LUT4=1;LUT6=3;RAMD64E=2"
155,-0.153,5.000,4.803,1.085,3.718,0.774,5,"uop_p3_q_reg[op_type][0]/C","i_vrf/vrf_b0_reg_r2_0_63_12_14/RAMC/I","VRF/read/writeback","FDCE=1;LUT4=1;LUT6=3;RAMD64E=2"
156,-0.153,5.000,4.803,1.085,3.718,0.774,5,"uop_p3_q_reg[op_type][0]/C","i_vrf/vrf_b0_reg_r2_0_63_15_17/RAMC/I","VRF/read/writeback","FDCE=1;LUT4=1;LUT6=3;RAMD64E=2"
157,-0.153,5.000,4.803,1.085,3.718,0.774,5,"uop_p3_q_reg[op_type][0]/C","i_vrf/vrf_b0_reg_r2_0_63_18_20/RAMC/I","VRF/read/writeback","FDCE=1;LUT4=1;LUT6=3;RAMD64E=2"
158,-0.153,5.000,4.803,1.085,3.718,0.774,5,"uop_p3_q_reg[op_type][0]/C","i_vrf/vrf_b0_reg_r2_0_63_21_23/RAMC/I","VRF/read/writeback","FDCE=1;LUT4=1;LUT6=3;RAMD64E=2"
159,-0.153,5.000,4.803,1.085,3.718,0.774,5,"uop_p3_q_reg[op_type][0]/C","i_vrf/vrf_b0_reg_r2_0_63_24_26/RAMC/I","VRF/read/writeback","FDCE=1;LUT4=1;LUT6=3;RAMD64E=2"
160,-0.153,5.000,4.803,1.085,3.718,0.774,5,"uop_p3_q_reg[op_type][0]/C","i_vrf/vrf_b0_reg_r2_0_63_27_29/RAMC/I","VRF/read/writeback","FDCE=1;LUT4=1;LUT6=3;RAMD64E=2"
161,-0.153,5.000,4.803,1.085,3.718,0.774,5,"uop_p3_q_reg[op_type][0]/C","i_vrf/vrf_b0_reg_r2_0_63_30_32/RAMC/I","VRF/read/writeback","FDCE=1;LUT4=1;LUT6=3;RAMD64E=2"
162,-0.153,5.000,4.803,1.085,3.718,0.774,5,"uop_p3_q_reg[op_type][0]/C","i_vrf/vrf_b0_reg_r2_0_63_33_35/RAMC/I","VRF/read/writeback","FDCE=1;LUT4=1;LUT6=3;RAMD64E=2"
163,-0.153,5.000,4.803,1.085,3.718,0.774,5,"uop_p3_q_reg[op_type][0]/C","i_vrf/vrf_b0_reg_r2_0_63_36_38/RAMC/I","VRF/read/writeback","FDCE=1;LUT4=1;LUT6=3;RAMD64E=2"
164,-0.153,5.000,4.803,1.085,3.718,0.774,5,"uop_p3_q_reg[op_type][0]/C","i_vrf/vrf_b0_reg_r2_0_63_39_41/RAMC/I","VRF/read/writeback","FDCE=1;LUT4=1;LUT6=3;RAMD64E=2"
165,-0.153,5.000,4.803,1.085,3.718,0.774,5,"uop_p3_q_reg[op_type][0]/C","i_vrf/vrf_b0_reg_r2_0_63_3_5/RAMC/I","VRF/read/writeback","FDCE=1;LUT4=1;LUT6=3;RAMD64E=2"
166,-0.153,5.000,4.803,1.085,3.718,0.774,5,"uop_p3_q_reg[op_type][0]/C","i_vrf/vrf_b0_reg_r2_0_63_42_44/RAMC/I","VRF/read/writeback","FDCE=1;LUT4=1;LUT6=3;RAMD64E=2"
167,-0.153,5.000,4.803,1.085,3.718,0.774,5,"uop_p3_q_reg[op_type][0]/C","i_vrf/vrf_b0_reg_r2_0_63_45_47/RAMC/I","VRF/read/writeback","FDCE=1;LUT4=1;LUT6=3;RAMD64E=2"
168,-0.153,5.000,4.803,1.085,3.718,0.774,5,"uop_p3_q_reg[op_type][0]/C","i_vrf/vrf_b0_reg_r2_0_63_48_50/RAMC/I","VRF/read/writeback","FDCE=1;LUT4=1;LUT6=3;RAMD64E=2"
169,-0.153,5.000,4.803,1.085,3.718,0.774,5,"uop_p3_q_reg[op_type][0]/C","i_vrf/vrf_b0_reg_r2_0_63_51_53/RAMC/I","VRF/read/writeback","FDCE=1;LUT4=1;LUT6=3;RAMD64E=2"
170,-0.153,5.000,4.803,1.085,3.718,0.774,5,"uop_p3_q_reg[op_type][0]/C","i_vrf/vrf_b0_reg_r2_0_63_54_56/RAMC/I","VRF/read/writeback","FDCE=1;LUT4=1;LUT6=3;RAMD64E=2"
171,-0.153,5.000,4.803,1.085,3.718,0.774,5,"uop_p3_q_reg[op_type][0]/C","i_vrf/vrf_b0_reg_r2_0_63_57_59/RAMC/I","VRF/read/writeback","FDCE=1;LUT4=1;LUT6=3;RAMD64E=2"
172,-0.153,5.000,4.803,1.085,3.718,0.774,5,"uop_p3_q_reg[op_type][0]/C","i_vrf/vrf_b0_reg_r2_0_63_60_62/RAMC/I","VRF/read/writeback","FDCE=1;LUT4=1;LUT6=3;RAMD64E=2"
173,-0.153,5.000,4.803,1.085,3.718,0.774,5,"uop_p3_q_reg[op_type][0]/C","i_vrf/vrf_b0_reg_r2_0_63_6_8/RAMC/I","VRF/read/writeback","FDCE=1;LUT4=1;LUT6=3;RAMD64E=2"
174,-0.153,5.000,4.803,1.085,3.718,0.774,5,"uop_p3_q_reg[op_type][0]/C","i_vrf/vrf_b0_reg_r2_0_63_9_11/RAMC/I","VRF/read/writeback","FDCE=1;LUT4=1;LUT6=3;RAMD64E=2"
175,-0.153,5.000,4.803,1.085,3.718,0.774,5,"uop_p3_q_reg[op_type][0]/C","i_vrf/vrf_b1_reg_r1_0_63_0_2/RAMC/I","VRF/read/writeback","FDCE=1;LUT4=1;LUT6=3;RAMD64E=1"
176,-0.153,5.000,4.803,1.085,3.718,0.774,5,"uop_p3_q_reg[op_type][0]/C","i_vrf/vrf_b1_reg_r1_0_63_12_14/RAMC/I","VRF/read/writeback","FDCE=1;LUT4=1;LUT6=3;RAMD64E=1"
177,-0.153,5.000,4.803,1.085,3.718,0.774,5,"uop_p3_q_reg[op_type][0]/C","i_vrf/vrf_b1_reg_r1_0_63_15_17/RAMC/I","VRF/read/writeback","FDCE=1;LUT4=1;LUT6=3;RAMD64E=1"
178,-0.153,5.000,4.803,1.085,3.718,0.774,5,"uop_p3_q_reg[op_type][0]/C","i_vrf/vrf_b1_reg_r1_0_63_18_20/RAMC/I","VRF/read/writeback","FDCE=1;LUT4=1;LUT6=3;RAMD64E=1"
179,-0.153,5.000,4.803,1.085,3.718,0.774,5,"uop_p3_q_reg[op_type][0]/C","i_vrf/vrf_b1_reg_r1_0_63_21_23/RAMC/I","VRF/read/writeback","FDCE=1;LUT4=1;LUT6=3;RAMD64E=1"
180,-0.153,5.000,4.803,1.085,3.718,0.774,5,"uop_p3_q_reg[op_type][0]/C","i_vrf/vrf_b1_reg_r1_0_63_24_26/RAMC/I","VRF/read/writeback","FDCE=1;LUT4=1;LUT6=3;RAMD64E=1"
181,-0.153,5.000,4.803,1.085,3.718,0.774,5,"uop_p3_q_reg[op_type][0]/C","i_vrf/vrf_b1_reg_r1_0_63_27_29/RAMC/I","VRF/read/writeback","FDCE=1;LUT4=1;LUT6=3;RAMD64E=1"
182,-0.153,5.000,4.803,1.085,3.718,0.774,5,"uop_p3_q_reg[op_type][0]/C","i_vrf/vrf_b1_reg_r1_0_63_30_32/RAMC/I","VRF/read/writeback","FDCE=1;LUT4=1;LUT6=3;RAMD64E=1"
183,-0.153,5.000,4.803,1.085,3.718,0.774,5,"uop_p3_q_reg[op_type][0]/C","i_vrf/vrf_b1_reg_r1_0_63_33_35/RAMC/I","VRF/read/writeback","FDCE=1;LUT4=1;LUT6=3;RAMD64E=1"
184,-0.153,5.000,4.803,1.085,3.718,0.774,5,"uop_p3_q_reg[op_type][0]/C","i_vrf/vrf_b1_reg_r1_0_63_36_38/RAMC/I","VRF/read/writeback","FDCE=1;LUT4=1;LUT6=3;RAMD64E=1"
185,-0.153,5.000,4.803,1.085,3.718,0.774,5,"uop_p3_q_reg[op_type][0]/C","i_vrf/vrf_b1_reg_r1_0_63_39_41/RAMC/I","VRF/read/writeback","FDCE=1;LUT4=1;LUT6=3;RAMD64E=1"
186,-0.153,5.000,4.803,1.085,3.718,0.774,5,"uop_p3_q_reg[op_type][0]/C","i_vrf/vrf_b1_reg_r1_0_63_3_5/RAMC/I","VRF/read/writeback","FDCE=1;LUT4=1;LUT6=3;RAMD64E=1"
187,-0.153,5.000,4.803,1.085,3.718,0.774,5,"uop_p3_q_reg[op_type][0]/C","i_vrf/vrf_b1_reg_r1_0_63_42_44/RAMC/I","VRF/read/writeback","FDCE=1;LUT4=1;LUT6=3;RAMD64E=1"
188,-0.153,5.000,4.803,1.085,3.718,0.774,5,"uop_p3_q_reg[op_type][0]/C","i_vrf/vrf_b1_reg_r1_0_63_45_47/RAMC/I","VRF/read/writeback","FDCE=1;LUT4=1;LUT6=3;RAMD64E=1"
189,-0.153,5.000,4.803,1.085,3.718,0.774,5,"uop_p3_q_reg[op_type][0]/C","i_vrf/vrf_b1_reg_r1_0_63_48_50/RAMC/I","VRF/read/writeback","FDCE=1;LUT4=1;LUT6=3;RAMD64E=1"
190,-0.153,5.000,4.803,1.085,3.718,0.774,5,"uop_p3_q_reg[op_type][0]/C","i_vrf/vrf_b1_reg_r1_0_63_51_53/RAMC/I","VRF/read/writeback","FDCE=1;LUT4=1;LUT6=3;RAMD64E=1"
191,-0.153,5.000,4.803,1.085,3.718,0.774,5,"uop_p3_q_reg[op_type][0]/C","i_vrf/vrf_b1_reg_r1_0_63_54_56/RAMC/I","VRF/read/writeback","FDCE=1;LUT4=1;LUT6=3;RAMD64E=1"
192,-0.153,5.000,4.803,1.085,3.718,0.774,5,"uop_p3_q_reg[op_type][0]/C","i_vrf/vrf_b1_reg_r1_0_63_57_59/RAMC/I","VRF/read/writeback","FDCE=1;LUT4=1;LUT6=3;RAMD64E=1"
193,-0.153,5.000,4.803,1.085,3.718,0.774,5,"uop_p3_q_reg[op_type][0]/C","i_vrf/vrf_b1_reg_r1_0_63_60_62/RAMC/I","VRF/read/writeback","FDCE=1;LUT4=1;LUT6=3;RAMD64E=1"
194,-0.153,5.000,4.803,1.085,3.718,0.774,5,"uop_p3_q_reg[op_type][0]/C","i_vrf/vrf_b1_reg_r1_0_63_6_8/RAMC/I","VRF/read/writeback","FDCE=1;LUT4=1;LUT6=3;RAMD64E=1"
195,-0.153,5.000,4.803,1.085,3.718,0.774,5,"uop_p3_q_reg[op_type][0]/C","i_vrf/vrf_b1_reg_r1_0_63_9_11/RAMC/I","VRF/read/writeback","FDCE=1;LUT4=1;LUT6=3;RAMD64E=1"
196,-0.153,5.000,4.803,1.085,3.718,0.774,5,"uop_p3_q_reg[op_type][0]/C","i_vrf/vrf_b1_reg_r2_0_63_0_2/RAMC/I","VRF/read/writeback","FDCE=1;LUT4=1;LUT6=3;RAMD64E=2"
197,-0.153,5.000,4.803,1.085,3.718,0.774,5,"uop_p3_q_reg[op_type][0]/C","i_vrf/vrf_b1_reg_r2_0_63_12_14/RAMC/I","VRF/read/writeback","FDCE=1;LUT4=1;LUT6=3;RAMD64E=2"
198,-0.153,5.000,4.803,1.085,3.718,0.774,5,"uop_p3_q_reg[op_type][0]/C","i_vrf/vrf_b1_reg_r2_0_63_15_17/RAMC/I","VRF/read/writeback","FDCE=1;LUT4=1;LUT6=3;RAMD64E=2"
199,-0.153,5.000,4.803,1.085,3.718,0.774,5,"uop_p3_q_reg[op_type][0]/C","i_vrf/vrf_b1_reg_r2_0_63_18_20/RAMC/I","VRF/read/writeback","FDCE=1;LUT4=1;LUT6=3;RAMD64E=2"
200,-0.153,5.000,4.803,1.085,3.718,0.774,5,"uop_p3_q_reg[op_type][0]/C","i_vrf/vrf_b1_reg_r2_0_63_21_23/RAMC/I","VRF/read/writeback","FDCE=1;LUT4=1;LUT6=3;RAMD64E=2"
