rank,slack_ns,required_time_ns,data_path_delay_ns,logic_delay_ns,route_delay_ns,route_ratio,logic_levels,startpoint,endpoint,path_class,main_cells
1,0.314,5.000,4.683,1.190,3.493,0.746,6,"FSM_onehot_st_q_reg[13]/C","lane_result_q_reg[0][55]/D","P2 lane result capture","FDCE=2;LUT4=1;LUT6=5"
2,0.314,5.000,4.683,1.190,3.493,0.746,6,"FSM_onehot_st_q_reg[13]/C","lane_result_q_reg[1][55]/D","P2 lane result capture","FDCE=2;LUT4=1;LUT6=5"
3,0.314,5.000,4.683,1.190,3.493,0.746,6,"FSM_onehot_st_q_reg[13]/C","lane_result_q_reg[2][55]/D","P2 lane result capture","FDCE=2;LUT4=1;LUT6=5"
4,0.314,5.000,4.683,1.190,3.493,0.746,6,"FSM_onehot_st_q_reg[13]/C","lane_result_q_reg[3][55]/D","P2 lane result capture","FDCE=2;LUT4=1;LUT6=5"
5,0.315,5.000,4.682,1.190,3.492,0.746,6,"FSM_onehot_st_q_reg[13]/C","lane_result_q_reg[0][59]/D","P2 lane result capture","FDCE=2;LUT4=1;LUT6=5"
6,0.315,5.000,4.682,1.190,3.492,0.746,6,"FSM_onehot_st_q_reg[13]/C","lane_result_q_reg[1][59]/D","P2 lane result capture","FDCE=2;LUT4=1;LUT6=5"
7,0.315,5.000,4.682,1.190,3.492,0.746,6,"FSM_onehot_st_q_reg[13]/C","lane_result_q_reg[2][59]/D","P2 lane result capture","FDCE=2;LUT4=1;LUT6=5"
8,0.315,5.000,4.682,1.190,3.492,0.746,6,"FSM_onehot_st_q_reg[13]/C","lane_result_q_reg[3][59]/D","P2 lane result capture","FDCE=2;LUT4=1;LUT6=5"
9,0.325,5.000,4.672,1.190,3.482,0.745,6,"FSM_onehot_st_q_reg[13]/C","lane_result_q_reg[0][63]/D","P2 lane result capture","FDCE=2;LUT4=1;LUT6=5"
10,0.325,5.000,4.672,1.190,3.482,0.745,6,"FSM_onehot_st_q_reg[13]/C","lane_result_q_reg[1][63]/D","P2 lane result capture","FDCE=2;LUT4=1;LUT6=5"
11,0.325,5.000,4.672,1.190,3.482,0.745,6,"FSM_onehot_st_q_reg[13]/C","lane_result_q_reg[2][63]/D","P2 lane result capture","FDCE=2;LUT4=1;LUT6=5"
12,0.325,5.000,4.672,1.190,3.482,0.745,6,"FSM_onehot_st_q_reg[13]/C","lane_result_q_reg[3][63]/D","P2 lane result capture","FDCE=2;LUT4=1;LUT6=5"
13,0.326,5.000,4.700,2.246,2.454,0.522,7,"gen_lane[0].i_p2_pop_slice/popcount_part_q_o_reg[0][0]/C","group_dist_q_reg[8]/D","P2 popcount capture","CARRY4=4;FDCE=2;LUT3=2;LUT5=1"
14,0.426,5.000,4.600,2.146,2.454,0.533,6,"gen_lane[0].i_p2_pop_slice/popcount_part_q_o_reg[0][0]/C","group_dist_q_reg[7]/D","P2 popcount capture","CARRY4=3;FDCE=2;LUT3=2;LUT5=1"
15,0.479,5.000,4.547,2.093,2.454,0.540,6,"gen_lane[0].i_p2_pop_slice/popcount_part_q_o_reg[0][0]/C","group_dist_q_reg[6]/D","P2 popcount capture","CARRY4=3;FDCE=2;LUT3=2;LUT5=1"
16,0.583,5.000,4.414,1.118,3.296,0.747,5,"gen_lane[2].i_p2_pop_slice/bool_result_q_reg[7]/C","gen_lane[2].i_p2_pop_slice/popcount_part_q_o_reg[0][3]/D","P2 popcount capture","FDCE=2;LUT3=1;LUT5=2;LUT6=2"
17,0.583,5.000,4.414,1.118,3.296,0.747,5,"gen_lane[2].i_p2_pop_slice/bool_result_q_reg[39]/C","gen_lane[2].i_p2_pop_slice/popcount_part_q_o_reg[1][3]/D","P2 popcount capture","FDCE=2;LUT3=1;LUT5=2;LUT6=2"
18,0.583,5.000,4.414,1.118,3.296,0.747,5,"gen_lane[3].i_p2_pop_slice/bool_result_q_reg[7]/C","gen_lane[3].i_p2_pop_slice/popcount_part_q_o_reg[0][3]/D","P2 popcount capture","FDCE=2;LUT3=1;LUT5=2;LUT6=2"
19,0.583,5.000,4.414,1.118,3.296,0.747,5,"gen_lane[3].i_p2_pop_slice/bool_result_q_reg[39]/C","gen_lane[3].i_p2_pop_slice/popcount_part_q_o_reg[1][3]/D","P2 popcount capture","FDCE=2;LUT3=1;LUT5=2;LUT6=2"
20,0.596,5.000,4.401,1.105,3.296,0.749,5,"gen_lane[2].i_p2_pop_slice/bool_result_q_reg[7]/C","gen_lane[2].i_p2_pop_slice/popcount_part_q_o_reg[0][5]/D","P2 popcount capture","FDCE=2;LUT3=1;LUT5=1;LUT6=3"
21,0.596,5.000,4.401,1.105,3.296,0.749,5,"gen_lane[2].i_p2_pop_slice/bool_result_q_reg[39]/C","gen_lane[2].i_p2_pop_slice/popcount_part_q_o_reg[1][5]/D","P2 popcount capture","FDCE=2;LUT3=1;LUT5=1;LUT6=3"
22,0.596,5.000,4.401,1.105,3.296,0.749,5,"gen_lane[3].i_p2_pop_slice/bool_result_q_reg[7]/C","gen_lane[3].i_p2_pop_slice/popcount_part_q_o_reg[0][5]/D","P2 popcount capture","FDCE=2;LUT3=1;LUT5=1;LUT6=3"
23,0.596,5.000,4.401,1.105,3.296,0.749,5,"gen_lane[3].i_p2_pop_slice/bool_result_q_reg[39]/C","gen_lane[3].i_p2_pop_slice/popcount_part_q_o_reg[1][5]/D","P2 popcount capture","FDCE=2;LUT3=1;LUT5=1;LUT6=3"
24,0.600,5.000,4.426,2.168,2.258,0.510,7,"gen_lane[2].i_p2_pop_slice/popcount_part_q_o_reg[1][0]/C","group_dist_q_reg[5]/D","P2 popcount capture","CARRY4=3;FDCE=2;LUT3=2;LUT5=1;LUT6=1"
25,0.602,5.000,4.395,1.105,3.290,0.749,5,"gen_lane[2].i_p2_pop_slice/bool_result_q_reg[7]/C","gen_lane[2].i_p2_pop_slice/popcount_part_q_o_reg[0][4]/D","P2 popcount capture","FDCE=2;LUT3=1;LUT5=1;LUT6=3"
26,0.602,5.000,4.395,1.105,3.290,0.749,5,"gen_lane[2].i_p2_pop_slice/bool_result_q_reg[39]/C","gen_lane[2].i_p2_pop_slice/popcount_part_q_o_reg[1][4]/D","P2 popcount capture","FDCE=2;LUT3=1;LUT5=1;LUT6=3"
27,0.602,5.000,4.395,1.105,3.290,0.749,5,"gen_lane[3].i_p2_pop_slice/bool_result_q_reg[7]/C","gen_lane[3].i_p2_pop_slice/popcount_part_q_o_reg[0][4]/D","P2 popcount capture","FDCE=2;LUT3=1;LUT5=1;LUT6=3"
28,0.602,5.000,4.395,1.105,3.290,0.749,5,"gen_lane[3].i_p2_pop_slice/bool_result_q_reg[39]/C","gen_lane[3].i_p2_pop_slice/popcount_part_q_o_reg[1][4]/D","P2 popcount capture","FDCE=2;LUT3=1;LUT5=1;LUT6=3"
29,0.603,5.000,4.394,1.190,3.204,0.729,6,"FSM_onehot_st_q_reg[13]/C","lane_result_q_reg[0][0]/D","P2 lane result capture","FDCE=2;LUT5=1;LUT6=5"
30,0.603,5.000,4.394,1.190,3.204,0.729,6,"FSM_onehot_st_q_reg[13]/C","lane_result_q_reg[0][10]/D","P2 lane result capture","FDCE=2;LUT5=1;LUT6=5"
31,0.603,5.000,4.394,1.190,3.204,0.729,6,"FSM_onehot_st_q_reg[13]/C","lane_result_q_reg[0][11]/D","P2 lane result capture","FDCE=2;LUT5=1;LUT6=5"
32,0.603,5.000,4.394,1.190,3.204,0.729,6,"FSM_onehot_st_q_reg[13]/C","lane_result_q_reg[0][12]/D","P2 lane result capture","FDCE=2;LUT5=1;LUT6=5"
33,0.603,5.000,4.394,1.190,3.204,0.729,6,"FSM_onehot_st_q_reg[13]/C","lane_result_q_reg[0][13]/D","P2 lane result capture","FDCE=2;LUT5=1;LUT6=5"
34,0.603,5.000,4.394,1.190,3.204,0.729,6,"FSM_onehot_st_q_reg[13]/C","lane_result_q_reg[0][14]/D","P2 lane result capture","FDCE=2;LUT5=1;LUT6=5"
35,0.603,5.000,4.394,1.190,3.204,0.729,6,"FSM_onehot_st_q_reg[13]/C","lane_result_q_reg[0][15]/D","P2 lane result capture","FDCE=2;LUT5=1;LUT6=5"
36,0.603,5.000,4.394,1.190,3.204,0.729,6,"FSM_onehot_st_q_reg[13]/C","lane_result_q_reg[0][1]/D","P2 lane result capture","FDCE=2;LUT5=1;LUT6=5"
37,0.603,5.000,4.394,1.190,3.204,0.729,6,"FSM_onehot_st_q_reg[13]/C","lane_result_q_reg[0][2]/D","P2 lane result capture","FDCE=2;LUT5=1;LUT6=5"
38,0.603,5.000,4.394,1.190,3.204,0.729,6,"FSM_onehot_st_q_reg[13]/C","lane_result_q_reg[0][3]/D","P2 lane result capture","FDCE=2;LUT5=1;LUT6=5"
39,0.603,5.000,4.394,1.190,3.204,0.729,6,"FSM_onehot_st_q_reg[13]/C","lane_result_q_reg[0][4]/D","P2 lane result capture","FDCE=2;LUT5=1;LUT6=5"
40,0.603,5.000,4.394,1.190,3.204,0.729,6,"FSM_onehot_st_q_reg[13]/C","lane_result_q_reg[0][5]/D","P2 lane result capture","FDCE=2;LUT5=1;LUT6=5"
41,0.603,5.000,4.394,1.190,3.204,0.729,6,"FSM_onehot_st_q_reg[13]/C","lane_result_q_reg[0][6]/D","P2 lane result capture","FDCE=2;LUT5=1;LUT6=5"
